city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
515805,Oktyabr'skoye,RU,43.06,44.74,10/05/20,            53.6,100,66,2.24
210379,Lusambo,CD,-4.97,23.45,10/05/20,            73.65,81,100,0.38
3988392,Rosarito,MX,32.33,-117.03,10/05/20,            86.11,22,1,6.93
1254709,Tezu,IN,27.92,96.17,10/05/20,            72.28,86,92,3.24
780687,Berlevåg,NO,70.86,29.09,10/05/20,            42.57,93,75,6.93
185939,Muhoroni,KE,-0.15,35.2,10/05/20,            67.62,60,97,2.46
6089245,Norman Wells,CA,65.28,-126.83,10/05/20,            42.8,81,75,2.24
2276492,Harper,LR,4.38,-7.72,10/05/20,            77.23,82,25,5.28
2030065,Mandalgovi,MN,45.76,106.27,10/05/20,            29.93,80,0,2.06
1122464,Taywarah,AF,33.35,64.42,10/05/20,            37.22,70,0,3.06
2038087,Chengde,CN,40.97,117.94,10/05/20,            40.64,63,0,2.39
4033356,Tiarei,PF,-17.53,-149.33,10/05/20,            80.6,65,75,3.36
2647984,Great Yarmouth,GB,52.61,1.73,10/05/20,            55.67,99,100,8.01
1636308,Manokwari,ID,-0.87,134.08,10/05/20,            79.16,76,100,4.32
2090021,Namatanai,PG,-3.67,152.43,10/05/20,            79.65,79,100,7.18
2017851,Pogranichnyy,RU,44.41,131.38,10/05/20,            42.44,83,0,9.31
5814450,University Place,US,47.24,-122.55,10/05/20,            58.26,82,75,8.05
2033135,Zhengjiatun,CN,43.51,123.51,10/05/20,            41.5,64,0,7.81
650769,Kristinestad,FI,62.27,21.38,10/05/20,            52.84,92,0,10.38
863061,Usinsk,RU,65.99,57.53,10/05/20,            38.64,94,100,16.35
3453171,Pontal,BR,-21.02,-48.04,10/05/20,            104,13,40,6.93
546845,Kochevo,RU,59.6,54.31,10/05/20,            37.56,80,100,7.4
3651949,San Cristobal,EC,-0.9,-89.62,10/05/20,            73.4,73,20,18.34
174984,Areni,AM,39.72,45.18,10/05/20,            55.4,76,90,4.7
2129766,Kamiiso,JP,41.82,140.65,10/05/20,            54.88,74,39,17.02
1798473,Puqi,CN,29.72,113.88,10/05/20,            51.44,85,100,2.21
361291,Hurghada,EG,27.26,33.81,10/05/20,            81.59,44,0,11.7
3698359,Chicama,PE,-7.84,-79.15,10/05/20,            73.22,53,66,11.27
3575479,Charlestown,KN,17.13,-62.62,10/05/20,            82.58,78,75,8.05
2514651,Los Llanos de Aridane,ES,28.66,-17.92,10/05/20,            68.23,78,75,11.41
515879,Oktyabr'skiy,RU,54.48,53.47,10/05/20,            39.78,70,37,4.38
3860443,Comodoro Rivadavia,AR,-45.87,-67.5,10/05/20,            66.2,16,100,27.51
5225631,Westerly,US,41.38,-71.83,10/05/20,            62.22,72,90,8.05
6453316,Tromsø,NO,69.65,18.96,10/05/20,            42.8,75,0,31.09
2171722,Charters Towers,AU,-20.1,146.27,10/05/20,            60.6,93,100,6.76
2191562,Dunedin,NZ,-45.87,170.5,10/05/20,            47.53,83,100,1.99
2084442,Vanimo,PG,-2.67,141.3,10/05/20,            77.88,86,100,4.27
286245,Sur,OM,22.57,59.53,10/05/20,            81.28,56,0,7.45
2021613,Krasnorechenskiy,RU,44.63,135.35,10/05/20,            40.48,84,100,14.41
3648546,Barinas,VE,8.62,-70.21,10/05/20,            84.09,73,100,2.06
2121025,Srednekolymsk,RU,67.45,153.68,10/05/20,            27.93,87,45,2.35
2311127,Tshela,CD,-4.98,12.93,10/05/20,            78.93,72,100,4.32
5887916,Athabasca,CA,54.72,-113.29,10/05/20,            55.44,56,100,13.8
1273409,Dātāganj,IN,28.03,79.4,10/05/20,            77.23,42,0,1.21
3520064,Salina Cruz,MX,16.17,-95.2,10/05/20,            88.68,45,50,24.52
2156643,Mount Gambier,AU,-37.83,140.77,10/05/20,            41,93,40,4.7
3412093,Vestmannaeyjar,IS,63.44,-20.27,10/05/20,            45,66,97,7.81
6094665,Osoyoos,CA,49.03,-119.45,10/05/20,            64.6,52,20,3.36
2181625,Te Anau,NZ,-45.42,167.72,10/05/20,            49.8,90,100,3.06
6148373,Sioux Lookout,CA,50.1,-91.92,10/05/20,            53.6,66,90,9.17
3069465,Nové Město na Moravě,CZ,49.56,16.07,10/05/20,            46.54,93,96,6.35
5915327,Cap-aux-Meules,CA,47.38,-61.86,10/05/20,            55.4,54,20,9.17
161974,Bereket,TM,39.24,55.52,10/05/20,            61.32,49,100,11.39
3374083,Bathsheba,BB,13.22,-59.52,10/05/20,            86,70,40,11.41
103630,Najrān,SA,17.49,44.13,10/05/20,            78.8,21,0,2.44
5850554,Makakilo City,US,21.35,-158.09,10/05/20,            77.92,69,20,4.7
117392,Saqqez,IR,36.25,46.27,10/05/20,            49.69,59,0,1.25
2174444,Bowen,AU,-20.02,148.23,10/05/20,            66.2,93,75,5.82
1274761,Chāndbāli,IN,20.78,86.77,10/05/20,            80.2,88,38,2.1
933290,Mookane,BW,-23.69,26.66,10/05/20,            74.64,52,100,8.32
6067747,Matagami,CA,49.75,-77.63,10/05/20,            53.6,40,40,11.41
1168700,Ormara,PK,25.21,64.64,10/05/20,            81.27,74,0,5.41
3446087,Três Passos,BR,-27.46,-53.93,10/05/20,            79.16,52,0,11.14
1295765,Sittwe,MM,20.15,92.9,10/05/20,            80.55,85,71,9.48
1337605,Mahibadhoo,MV,3.78,72.97,10/05/20,            83.03,77,1,14.5
2025456,Chernyshevskiy,RU,63.01,112.47,10/05/20,            41.4,84,100,12.06
3844421,Mendoza,AR,-32.89,-68.83,10/05/20,            66.2,25,0,9.17
2953413,Bad Langensalza,DE,51.1,10.65,10/05/20,            54.23,71,75,11.41
5899061,Berwick,CA,45.05,-64.73,10/05/20,            62.6,51,20,6.93
2273435,Tubmanburg,LR,6.87,-10.82,10/05/20,            76.14,90,100,3.42
359792,Aswān,EG,24.09,32.91,10/05/20,            86.23,16,0,11.52
3883615,Lautaro,CL,-38.52,-72.45,10/05/20,            55.4,58,40,11.41
